Date,state,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019-01-02,ID,330065.0,1418782.0,5525773.0,1321328.0,1491783.0,687474.0,813912.0,739483.0,282326.0,104592.0,57978.0,17457.0,9440.0
2019-01-03,MT,231091.0,827967.0,3607812.0,944899.0,1053714.0,426761.0,451938.0,390709.0,178183.0,89772.0,49857.0,13579.0,8400.0
2019-01-03,NH,256376.0,1095935.0,4706005.0,942018.0,1078453.0,589541.0,737743.0,856724.0,363844.0,99018.0,27064.0,4866.0,6734.0
2019-01-03,NV,638451.0,2386666.0,11163208.0,3403513.0,2706169.0,1288998.0,1751737.0,1477887.0,288914.0,121031.0,78739.0,27859.0,18361.0
2019-01-03,NE,368142.0,1555232.0,7222727.0,1643440.0,1948874.0,935927.0,1152426.0,960056.0,325131.0,161093.0,69220.0,17561.0,8999.0
2019-01-03,MO,1234610.0,4873115.0,21948921.0,5063581.0,5397025.0,2614367.0,3427889.0,3588209.0,1247199.0,353593.0,179250.0,49415.0,28393.0
2019-01-03,MS,487373.0,2490031.0,9416774.0,2228203.0,2380289.0,1088834.0,1446917.0,1383585.0,541720.0,217286.0,99027.0,25238.0,5675.0
2019-01-03,KY,862115.0,3592627.0,16748769.0,3733448.0,4172971.0,2194342.0,2688666.0,2546588.0,894674.0,312671.0,159637.0,33483.0,12289.0
2019-01-03,LA,827419.0,3818312.0,17278186.0,4549134.0,4339850.0,2121150.0,2640901.0,2305344.0,838484.0,338450.0,111456.0,22576.0,10841.0
2019-01-03,NJ,1788908.0,7092385.0,33608060.0,9354057.0,8290603.0,3865513.0,4755100.0,4785493.0,1797404.0,517838.0,155745.0,32247.0,54060.0
2019-01-03,AL,830424.0,4042510.0,15921478.0,3501308.0,3984426.0,2114095.0,2561586.0,2465964.0,853034.0,289661.0,114595.0,28537.0,8272.0
2019-01-03,AK,171331.0,563851.0,2640115.0,775135.0,731478.0,347551.0,367220.0,245467.0,111958.0,36432.0,12113.0,5028.0,7733.0
2019-01-03,AZ,1414677.0,5735049.0,23464046.0,6098402.0,5642357.0,2768821.0,3459536.0,3694286.0,1154971.0,330597.0,223568.0,50444.0,41064.0
2019-01-03,AR,516872.0,2487744.0,9688533.0,2143686.0,2525801.0,1240390.0,1497976.0,1437752.0,535707.0,204335.0,75374.0,21038.0,6474.0
2019-01-03,CA,7726174.0,31709962.0,140219864.0,39718114.0,35192591.0,16119910.0,19678629.0,19129041.0,6926857.0,2330842.0,766626.0,180217.0,177037.0
2019-01-03,CO,1227001.0,4451155.0,23102157.0,5802814.0,5917995.0,2769689.0,3529890.0,3421678.0,995352.0,410259.0,155634.0,43181.0,55665.0
2019-01-03,CT,688069.0,2873676.0,12225399.0,2915671.0,3101539.0,1529897.0,1853185.0,1879824.0,628027.0,210553.0,60226.0,13809.0,32668.0
2019-01-03,DE,174956.0,789258.0,3162108.0,702360.0,773643.0,392500.0,515918.0,492899.0,196146.0,58687.0,24962.0,3057.0,1936.0
2019-01-03,DC,189830.0,510478.0,4068528.0,1704740.0,1124828.0,510954.0,463380.0,203864.0,37239.0,8230.0,6961.0,3060.0,5272.0
2019-01-03,FL,3633067.0,17601155.0,71552929.0,19214060.0,17823686.0,8963789.0,11029030.0,9987016.0,3012542.0,902160.0,431929.0,106243.0,82474.0
